epoch,vtec,sat_count,station,obs_file,mode
2026-02-22 00:00:00,17.033010450626055,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:01:00,17.52540793245159,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:02:00,17.41698092685568,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:03:00,18.455018847837465,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:04:00,17.845483955421585,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:05:00,17.834281495932537,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:06:00,18.01809042709914,15,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:07:00,18.622144140497976,15,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:08:00,18.580166456305058,15,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:09:00,17.361012919088456,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:10:00,17.772513684174157,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:11:00,18.194257339496872,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:12:00,17.221251817797,14,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:13:00,17.952021290403724,15,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:14:00,17.660146557916235,15,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:15:00,17.561804208256476,16,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:16:00,17.585943906814837,16,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:17:00,18.09561377421798,16,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:18:00,17.7245294263221,16,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:19:00,18.51271541311206,16,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:20:00,17.784730357237905,16,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
2026-02-22 00:21:00,19.09871866899218,16,TWTF,TWTF00TWN_R_20260530000_01D_30S_MO.rnx,SP3映射
